OBJECTID_1 *,Shape *,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
1041,,Olanciti Town,,,,,West Guji,,Oromia,,Ethiopia,,,,,,
1042,,Gudeya Bila,,,,,Horo Gudru Wellega,,Oromia,,Ethiopia,,,,,,
1,Polygon,Aba-Korow,ET050699,<Null>,<Null>,<Null>,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.950532,0.171323
2,Polygon,Abaala,ET020203,<Null>,Aba Ala,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.034157,0.080343
3,Polygon,Abaala town,ET020209,<Null>,Aba Ala,<Null>,Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.631023,0.01579
4,Polygon,Ababo,ET041904,<Null>,<Null>,<Null>,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.575575,0.078659
5,Polygon,Abadir,ET130109,<Null>,<Null>,<Null>,Harari,ET1301,Harari,ET13,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.227439,0.00158
6,Polygon,Abay Chomen,ET041905,<Null>,<Null>,<Null>,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.539018,0.069848
7,Polygon,Abaya,ET041513,<Null>,<Null>,<Null>,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.861231,0.150204
8,Polygon,Abe Dongoro,ET041910,<Null>,<Null>,<Null>,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.531018,0.090235
9,Polygon,Abela Abaya,ET070621,<Null>,<Null>,<Null>,Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.794127,0.016754
10,Polygon,Abergele (AM),ET030805,<Null>,<Null>,<Null>,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,2.742396,0.131289
11,Polygon,Abergele (TG),ET010210,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.638554,0.094026
12,Polygon,Abeshege,ET070102,<Null>,<Null>,<Null>,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.378248,0.042863
13,Polygon,Abi Adi town,ET010211,<Null>,<Null>,<Null>,Central,ET0102,Tigray,ET01,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,0.222567,0.001647
14,Polygon,Abichugna Gne'a,ET040609,Abichugna Gnea,<Null>,<Null>,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,8/19/2019,10/8/2020,<Null>,1.667368,0.055719
